alt,current time,x,y,z,channel_4
-60.0,2025-03-09 15:16:38,0,0,0,
-60.0,2025-03-09 15:16:39,0,0,0,
-59.0,2025-03-09 15:16:40,0,0,0,
-61.0,2025-03-09 15:16:41,0,0,0,
-63.0,2025-03-09 15:16:42,0,0,0,
-60.0,2025-03-09 15:16:43,0,0,0,
-58.0,2025-03-09 15:16:44,0,0,0,
-56.0,2025-03-09 15:16:45,0,0,0,
-60.0,2025-03-09 15:16:46,0,0,0,
-65.0,2025-03-09 15:16:47,0,0,0,
-73.0,2025-03-09 15:16:48,0,0,0,
-83.0,2025-03-09 15:16:49,0,0,0,
-94.0,2025-03-09 15:16:50,0,0,0,
-107.0,2025-03-09 15:16:51,0,0,0,
-122.0,2025-03-09 15:16:52,0,0,0,
-139.0,2025-03-09 15:16:53,0,0,0,
-158.0,2025-03-09 15:16:54,0,0,0,
-179.0,2025-03-09 15:16:55,0,0,0,
-202.0,2025-03-09 15:16:56,0,0,0,
-225.0,2025-03-09 15:16:57,0,0,0,
-247.0,2025-03-09 15:16:58,0,0,0,
-270.0,2025-03-09 15:16:59,0,0,0,
